=== Model information ===

Filename:     NaiveBayesMultinomialText_incremental_4.model
Scheme:       weka.classifiers.bayes.NaiveBayesMultinomialText -P 0 -M 1.0 -norm 1.0 -lnorm 2.0 -lowercase -stopwords-handler "weka.core.stopwords.WordsFromFile -stopwords C:\\Users\\mirki\\Desktop\\stopwords_en.txt" -tokenizer weka.core.tokenizers.AlphabeticTokenizer -stemmer "weka.core.stemmers.SnowballStemmer -S english"
Relation:     train_set
Attributes:   2
              text
              sentiment

=== Classifier model ===

Dictionary size: 1884

The independent frequency of a class
--------------------------------------
negative	761.0
neutral	760.0
positive	760.0

The frequency of a word given the class
-----------------------------------------
   negative	    neutral	   positive	
        2.0	        1.0	        1.0	hahahha
        2.0	        1.0	        1.0	wood
        3.0	        1.0	        1.0	bare
        4.0	        1.0	        2.0	ruin
        1.0	        1.0	        2.0	five
        3.0	        2.0	        6.0	keeper
        1.0	        1.0	        2.0	felt
        1.0	        2.0	        1.0	wont
        2.0	        1.0	        1.0	trebl
       21.0	        4.0	       33.0	look
        1.0	        1.0	        2.0	berbatov
        1.0	        1.0	        2.0	gannnnnnnnng
        5.0	        1.0	       25.0	squad
        1.0	        1.0	        2.0	mls
        2.0	        1.0	        1.0	campaign
        2.0	        1.0	        1.0	internet
        1.0	        2.0	        1.0	grimaldo
        1.0	        2.0	        1.0	allow
        2.0	        1.0	        1.0	lmaoo
        2.0	        1.0	        1.0	lord
        2.0	        1.0	        1.0	proper
        3.0	        1.0	       76.0	beast
        7.0	        1.0	        8.0	everi
        6.0	        2.0	        1.0	bruh
        2.0	        1.0	        1.0	recal
        4.0	        1.0	        4.0	speed
        6.0	        5.0	        4.0	peopl
        2.0	        1.0	        1.0	smarter
        2.0	        1.0	        1.0	admit
        2.0	        1.0	        2.0	interest
        1.0	        1.0	        2.0	admir
        1.0	        1.0	        3.0	koeman
        1.0	        2.0	        2.0	wonder
        1.0	        1.0	        3.0	shave
        1.0	        2.0	        1.0	twin
        2.0	        1.0	        1.0	downvot
        1.0	        4.0	        1.0	middl
        6.0	        9.0	        9.0	again
        1.0	        1.0	        2.0	dickmann
        1.0	        4.0	        1.0	money
        1.0	        2.0	        1.0	maximin
        1.0	        7.0	        2.0	comment
        2.0	        1.0	        1.0	basi
        4.0	        1.0	        1.0	disgust
        1.0	        2.0	        2.0	mark
        3.0	        2.0	        2.0	base
        1.0	        1.0	        6.0	gullit
        2.0	        1.0	        1.0	septemb
        1.0	        1.0	        2.0	trend
        2.0	        1.0	        1.0	inrest
        2.0	        1.0	        1.0	whole
        3.0	        3.0	        9.0	fair
        4.0	        1.0	        2.0	consist
        1.0	        1.0	        2.0	iconmo
        1.0	        1.0	        2.0	entari
        2.0	        1.0	        1.0	mov
        3.0	       82.0	        5.0	price
        3.0	        1.0	        1.0	lost
        1.0	        2.0	        1.0	hernandez
        1.0	        2.0	        1.0	mammuuut
       19.0	       10.0	       18.0	still
        1.0	        1.0	        2.0	van
        3.0	        1.0	        1.0	sociedad
        3.0	        2.0	        5.0	work
        2.0	        1.0	        1.0	lose
        1.0	        2.0	        1.0	stile
        3.0	        1.0	        1.0	declin
        4.0	        1.0	        1.0	wors
        3.0	        1.0	        2.0	toward
        1.0	        1.0	        2.0	itself
        1.0	        3.0	        1.0	mata
        2.0	        1.0	        1.0	trent
        1.0	        1.0	        2.0	mounth
        1.0	        2.0	        2.0	word
        4.0	        1.0	       39.0	love
        1.0	        3.0	        1.0	tradeabl
        1.0	        2.0	        1.0	underestim
        1.0	        2.0	        2.0	secret
        2.0	        1.0	        1.0	iim
        2.0	        1.0	        1.0	nick
        1.0	        2.0	        1.0	birmingham
        1.0	        2.0	        1.0	kyle
        1.0	        2.0	        1.0	decreas
        1.0	        1.0	        2.0	alisson
        2.0	        2.0	        1.0	xavi
        4.0	        4.0	       29.0	nice
        5.0	        1.0	        1.0	opinion
        1.0	        8.0	        2.0	flashback
        2.0	        1.0	        1.0	aurier
        1.0	        2.0	        1.0	seagul
        2.0	        1.0	        1.0	cannot
        3.0	        2.0	        3.0	averag
        1.0	        1.0	        2.0	alvaro
        6.0	       18.0	       18.0	first
        1.0	        1.0	        2.0	insult
        2.0	        1.0	        1.0	centreback
        2.0	        4.0	        4.0	perfect
        2.0	        1.0	        1.0	tripplefckuea
        1.0	        2.0	        1.0	roman
        2.0	        1.0	        1.0	butcher
        1.0	        1.0	        3.0	space
        1.0	        2.0	        1.0	illiaramendi
        1.0	        2.0	        1.0	sarri
       13.0	       16.0	        8.0	from
        1.0	        3.0	        1.0	matheus
        1.0	        1.0	        3.0	portugues
        2.0	        8.0	        8.0	hunter
        3.0	        1.0	        1.0	bench
        1.0	        2.0	        1.0	palac
        7.0	        4.0	        9.0	footbal
        2.0	        1.0	        1.0	ill
        1.0	        2.0	        1.0	diarrhea
        5.0	        2.0	        3.0	mayb
        1.0	        1.0	        2.0	marcus
        1.0	        2.0	        1.0	kloosterman
        1.0	        2.0	        2.0	croatia
        2.0	        1.0	        1.0	burnley
        1.0	        1.0	        2.0	uncomfort
        1.0	        1.0	        3.0	militao
        2.0	        1.0	        1.0	unluckyyyyi
        1.0	        1.0	        2.0	untouch
        3.0	        1.0	        2.0	steal
        1.0	        1.0	        2.0	goodby
        2.0	        1.0	        1.0	winter
       14.0	        1.0	        4.0	imo
        2.0	        1.0	        1.0	kimmich
        1.0	        1.0	        2.0	outright
        2.0	        1.0	        1.0	error
        1.0	        2.0	        1.0	headlin
        1.0	        2.0	        1.0	acheampong
        1.0	        2.0	        4.0	laliga
        1.0	        6.0	        1.0	extinct
        1.0	        2.0	        1.0	aubameyang
        1.0	        2.0	        1.0	ashley
        4.0	        1.0	        3.0	ing
        2.0	        2.0	        5.0	agil
        2.0	        1.0	        1.0	mvp
        5.0	        3.0	        3.0	overal
        1.0	        1.0	        2.0	spent
        2.0	        1.0	        1.0	instead
        2.0	        2.0	        3.0	improv
        1.0	        3.0	        1.0	trade
        2.0	        1.0	        4.0	round
        1.0	        1.0	        2.0	maldini
        3.0	        1.0	        2.0	seria
        2.0	        1.0	        2.0	retir
        2.0	        1.0	        1.0	negat
        2.0	        1.0	        1.0	pope
       29.0	        6.0	       27.0	year
        1.0	        2.0	        1.0	yeah
        1.0	        2.0	        1.0	futma
        2.0	        1.0	        1.0	riberi
        1.0	        2.0	        2.0	dutch
       10.0	        1.0	        9.0	score
        1.0	        2.0	        1.0	inzaghi
        1.0	        2.0	        1.0	tomori
        3.0	        1.0	        1.0	poor
        1.0	        1.0	        2.0	barcelona
        4.0	        2.0	        1.0	accuraci
        3.0	        1.0	        4.0	near
        2.0	        1.0	        2.0	chiellini
        1.0	        2.0	        1.0	ram
        3.0	        2.0	        1.0	rat
        2.0	        2.0	        2.0	sommer
        2.0	        1.0	        1.0	pool
        2.0	        2.0	        2.0	version
        1.0	        2.0	        1.0	sidnei
        3.0	        1.0	        2.0	stop
        1.0	        2.0	        1.0	guess
        1.0	        2.0	        1.0	urib
        4.0	        2.0	        1.0	isnt
        1.0	        1.0	        2.0	rbs
       40.0	        3.0	        8.0	least
        1.0	        2.0	        1.0	wouldnt
        3.0	        2.0	        3.0	milan
       39.0	        1.0	        1.0	overr
        1.0	        9.0	        4.0	chemistri
        1.0	        1.0	        2.0	sleep
        1.0	        2.0	        1.0	oakley
        2.0	        1.0	        2.0	unbeliev
        2.0	        1.0	        1.0	spiderrr
        1.0	        1.0	        4.0	machin
        2.0	        1.0	        1.0	corona
        5.0	        1.0	        1.0	close
        1.0	        1.0	        2.0	electrum
        2.0	        1.0	        8.0	irl
        2.0	        1.0	        1.0	brandt
        2.0	        4.0	        1.0	saint
        2.0	        1.0	        1.0	cech
        3.0	        3.0	        1.0	abl
        2.0	        1.0	        1.0	neck
        4.0	        1.0	        1.0	weird
        3.0	        3.0	        4.0	fast
        2.0	        2.0	        1.0	robben
        3.0	        3.0	        5.0	slap
        1.0	        2.0	        1.0	ish
        2.0	        1.0	        1.0	poti
        3.0	        2.0	        2.0	silva
        4.0	        1.0	        2.0	isn
        4.0	        1.0	        4.0	sprint
        2.0	        2.0	        1.0	contribut
        2.0	        1.0	        1.0	potm
        2.0	        1.0	        1.0	couldn
        1.0	        1.0	        4.0	red
        1.0	        1.0	        2.0	post
        7.0	        7.0	       12.0	finish
        2.0	        1.0	        1.0	rep
        1.0	        3.0	        1.0	add
        4.0	        1.0	        3.0	doesn
        2.0	        1.0	        1.0	unplay
       10.0	        4.0	        6.0	need
        1.0	        1.0	        2.0	oblak
        2.0	        1.0	        2.0	fullback
        2.0	        1.0	        1.0	unpopular
        1.0	        5.0	        1.0	els
        2.0	        1.0	        2.0	respect
        1.0	        1.0	        4.0	catalyst
        3.0	        1.0	        2.0	conced
        1.0	        1.0	        2.0	trust
        2.0	        1.0	        1.0	matchmak
        3.0	        2.0	        2.0	sorri
        1.0	        1.0	        2.0	zwe
        2.0	        1.0	        1.0	fucker
        2.0	        1.0	        1.0	emr
        2.0	        1.0	        2.0	glitch
        1.0	        2.0	        1.0	predect
        1.0	        1.0	        9.0	striker
        1.0	        2.0	        1.0	richarlison
        2.0	        1.0	        3.0	ive
        5.0	        1.0	        3.0	end
        1.0	        2.0	        3.0	haaland
       73.0	        5.0	        4.0	downgrad
        2.0	        1.0	        1.0	wtfffff
        1.0	        2.0	        1.0	estim
        1.0	        3.0	        8.0	special
        1.0	        3.0	        1.0	togeth
        2.0	        2.0	        2.0	agre
        1.0	        1.0	        2.0	soooooo
        4.0	        2.0	        2.0	dude
        3.0	        1.0	        2.0	age
        1.0	        1.0	        2.0	swear
        4.0	        2.0	        5.0	career
        1.0	        2.0	        1.0	shouldnt
        1.0	        1.0	        2.0	rebuy
        1.0	        2.0	        1.0	cotia
        3.0	        2.0	        2.0	ago
        1.0	        2.0	        2.0	ciro
        2.0	        2.0	        1.0	number
        2.0	        1.0	        1.0	defect
        1.0	        1.0	        2.0	finanlli
        4.0	        3.0	        1.0	rip
        2.0	        1.0	        1.0	nan
        1.0	        1.0	        2.0	jami
        1.0	        2.0	        1.0	raikkonen
        2.0	        2.0	        1.0	wanna
        1.0	        1.0	        2.0	allright
        5.0	        1.0	        5.0	silver
        1.0	        2.0	        1.0	jame
        1.0	        2.0	        1.0	matchup
        3.0	        3.0	        4.0	chelsea
        2.0	        1.0	        1.0	toni
        1.0	        7.0	        1.0	anyon
        2.0	        2.0	       11.0	other
        2.0	        4.0	        6.0	against
        2.0	        1.0	        1.0	ain
        1.0	        2.0	        1.0	gondri
        2.0	        1.0	        1.0	retain
        1.0	        2.0	        3.0	remind
        1.0	        2.0	        1.0	pictur
        1.0	        1.0	        2.0	assur
        2.0	        1.0	        2.0	era
        1.0	        1.0	        2.0	casemiro
        2.0	        1.0	        1.0	looool
        1.0	        1.0	        2.0	bamba
        2.0	        1.0	        1.0	ero
        1.0	        2.0	        1.0	err
        1.0	        1.0	        3.0	iniesta
        2.0	        1.0	        1.0	boat
        2.0	        2.0	        2.0	surpris
        1.0	        3.0	        2.0	citi
        1.0	       12.0	        3.0	anchor
        2.0	        2.0	        1.0	exampl
        2.0	        2.0	        1.0	ake
        2.0	        1.0	        1.0	royal
        1.0	        1.0	        2.0	movement
        1.0	        2.0	        1.0	shaw
        1.0	        1.0	        2.0	hasensio
        2.0	        2.0	        1.0	alba
        1.0	        1.0	        2.0	spice
        1.0	        1.0	        2.0	glove
        1.0	        1.0	        2.0	aerial
        2.0	        1.0	        3.0	spur
        1.0	        1.0	        5.0	mode
        1.0	        1.0	        4.0	finess
        2.0	        3.0	        2.0	etc
        1.0	        1.0	        2.0	bangin
        1.0	        1.0	        2.0	linkt
        1.0	        1.0	        2.0	belgium
        1.0	        1.0	        3.0	favourit
       12.0	        4.0	       19.0	all
        3.0	        6.0	        5.0	new
        1.0	        2.0	        1.0	read
        2.0	        1.0	        1.0	below
        2.0	        1.0	        2.0	touch
        1.0	        2.0	        1.0	shall
        1.0	        1.0	        5.0	rememb
        9.0	        5.0	        7.0	real
        1.0	        1.0	        2.0	havertz
        2.0	        1.0	        1.0	nasti
        1.0	        2.0	        1.0	rumour
        3.0	        3.0	        4.0	unit
        4.0	        7.0	        5.0	alreadi
        2.0	        1.0	        1.0	remenb
        1.0	        1.0	        2.0	bodi
        3.0	        1.0	        1.0	shame
        8.0	        2.0	        1.0	rob
        4.0	        2.0	        3.0	around
        2.0	        1.0	        1.0	leipzig
        4.0	        1.0	        2.0	disappoint
        1.0	        1.0	        3.0	rom
        3.0	        3.0	        5.0	ngl
       85.0	       52.0	       91.0	and
        3.0	        4.0	        2.0	today
        1.0	       41.0	        1.0	predict
        2.0	        1.0	        1.0	row
        2.0	        1.0	        2.0	harder
        5.0	        3.0	        6.0	ani
        1.0	        1.0	        2.0	immens
        2.0	        1.0	        4.0	haven
        1.0	        1.0	        2.0	aimbot
        3.0	        1.0	        3.0	tackl
        3.0	        2.0	        5.0	super
        3.0	        1.0	        1.0	ahahaha
        1.0	        1.0	        2.0	martin
        1.0	        2.0	        4.0	until
        2.0	        1.0	        1.0	livarpool
        7.0	        2.0	        5.0	reason
        1.0	        1.0	        2.0	mustafi
        1.0	        1.0	        3.0	bootleg
        2.0	        2.0	        1.0	thought
        1.0	        1.0	        2.0	allway
        1.0	        3.0	       37.0	legend
        2.0	        2.0	        1.0	lifetim
        1.0	        2.0	        2.0	toti
        1.0	        4.0	        2.0	totw
        1.0	        2.0	        1.0	incharg
        3.0	        1.0	        1.0	dortmund
        1.0	        1.0	        2.0	woowoww
        1.0	        1.0	        2.0	scottish
        3.0	        2.0	        4.0	english
        1.0	        1.0	        2.0	nerf
        1.0	        1.0	        2.0	totg
        4.0	        1.0	        1.0	mistak
        1.0	        1.0	        3.0	outrag
        2.0	        1.0	        1.0	skillz
        1.0	        4.0	        2.0	app
        2.0	        1.0	        1.0	barca
        1.0	        2.0	        3.0	gomez
        1.0	        1.0	        2.0	dribbler
        6.0	        2.0	        1.0	shouldn
        1.0	        1.0	        2.0	malen
        1.0	        1.0	        2.0	eye
        2.0	        1.0	        4.0	himself
        1.0	        1.0	        3.0	alex
        7.0	        2.0	        3.0	slow
        1.0	        1.0	        2.0	turkey
        3.0	        1.0	        1.0	necessarili
        1.0	        1.0	        2.0	upfront
        1.0	        1.0	        2.0	yala
        1.0	        1.0	        2.0	brunooo
        3.0	        3.0	        3.0	recommend
        1.0	        2.0	        2.0	trophi
        1.0	        2.0	        1.0	comeback
        4.0	        3.0	        2.0	worth
        1.0	        1.0	        3.0	yess
       19.0	       14.0	       12.0	are
        2.0	        1.0	        3.0	came
        1.0	        2.0	        2.0	where
        1.0	        1.0	        2.0	magician
        1.0	        1.0	        2.0	popular
        1.0	        2.0	        1.0	gulacsi
        2.0	        1.0	        3.0	broken
        1.0	        2.0	        1.0	xbox
        3.0	        1.0	        3.0	balanc
        1.0	        2.0	        2.0	fulli
        1.0	        1.0	        2.0	call
       11.0	        2.0	        7.0	such
        2.0	        1.0	        4.0	midfield
        1.0	        2.0	        1.0	classic
        2.0	        2.0	        2.0	kick
       10.0	        2.0	        1.0	shit
        1.0	        3.0	        1.0	ask
        3.0	        1.0	        3.0	suck
        1.0	        1.0	        3.0	through
        1.0	        3.0	        2.0	ass
        1.0	        1.0	        2.0	soucek
        4.0	        1.0	        4.0	strength
        3.0	        9.0	        6.0	cant
        5.0	        1.0	        2.0	run
        2.0	        1.0	        1.0	slut
        1.0	        1.0	        3.0	mother
        1.0	        1.0	        5.0	either
        1.0	        3.0	        2.0	atm
        1.0	        2.0	        1.0	bruhhh
        2.0	        2.0	        1.0	aguero
        1.0	        2.0	        1.0	nani
        3.0	        3.0	        3.0	those
        1.0	        1.0	        3.0	oppon
        2.0	        1.0	        1.0	imposs
        5.0	        3.0	        2.0	defens
        1.0	        2.0	        3.0	might
        1.0	        1.0	        2.0	goddess
        1.0	        1.0	        2.0	posituon
        2.0	        2.0	        1.0	dure
        1.0	        1.0	        2.0	moli
        1.0	        2.0	        1.0	girl
        1.0	        1.0	        2.0	aliv
        2.0	        7.0	        1.0	name
       23.0	        1.0	        1.0	worst
        2.0	        3.0	        2.0	physic
        2.0	        4.0	        7.0	next
       19.0	        1.0	        1.0	unus
        2.0	        1.0	        1.0	blind
        2.0	        1.0	        1.0	booo
        1.0	        1.0	        3.0	import
        1.0	        1.0	        2.0	hidden
        1.0	        1.0	        2.0	reli
        2.0	        1.0	        1.0	truck
        4.0	        1.0	        2.0	show
        5.0	        7.0	        3.0	non
        1.0	        1.0	        2.0	jockey
        6.0	        2.0	       10.0	shot
        1.0	        2.0	        1.0	nor
       29.0	       14.0	       11.0	not
        1.0	        1.0	        2.0	nos
        1.0	        1.0	        2.0	central
       10.0	        1.0	       14.0	defend
        1.0	        1.0	        4.0	defenc
       14.0	       39.0	        8.0	now
       12.0	        3.0	       14.0	leagu
        3.0	        2.0	        2.0	pogba
        2.0	        1.0	        2.0	boot
        1.0	        1.0	        2.0	samba
        2.0	        1.0	        1.0	goddamn
        1.0	        3.0	        4.0	green
        4.0	        1.0	        1.0	europ
        2.0	        1.0	        1.0	wan
        2.0	        1.0	        1.0	shiet
       24.0	        8.0	       41.0	was
        1.0	        4.0	        1.0	marksman
        1.0	        1.0	        2.0	magnific
        1.0	        2.0	        1.0	awb
       16.0	        2.0	        5.0	way
        2.0	        1.0	        1.0	barella
       34.0	       41.0	       24.0	what
        1.0	        1.0	        2.0	soooooooooooo
        1.0	        2.0	        1.0	israel
        2.0	        1.0	        2.0	hype
        1.0	       19.0	        1.0	rise
       18.0	       11.0	       26.0	play
        3.0	        1.0	        1.0	discard
        9.0	       60.0	        7.0	when
        8.0	        4.0	        3.0	fan
        2.0	        1.0	        1.0	crush
        4.0	        2.0	        4.0	far
        1.0	        1.0	        2.0	stuck
        3.0	        1.0	        1.0	fat
        2.0	        1.0	        3.0	catch
        1.0	        1.0	        2.0	plan
        7.0	        7.0	        6.0	give
        1.0	        3.0	        1.0	epic
        1.0	        2.0	        2.0	omfg
        2.0	        1.0	        1.0	sunday
        1.0	        1.0	        2.0	teenag
        3.0	        2.0	        2.0	consid
        3.0	        1.0	        1.0	slide
        2.0	       10.0	        3.0	futur
        5.0	        1.0	        4.0	didnt
        3.0	        1.0	        4.0	everyth
        1.0	       35.0	        5.0	style
       49.0	       27.0	       89.0	card
        1.0	        1.0	        2.0	gullllllllllllit
        2.0	        1.0	        1.0	care
        1.0	        2.0	        1.0	archor
        2.0	        1.0	        1.0	boss
        1.0	        2.0	        1.0	nakata
        1.0	        2.0	        1.0	kimi
        1.0	        1.0	        3.0	irish
        1.0	        1.0	        2.0	direct
        4.0	        1.0	        1.0	harsh
        1.0	        1.0	        2.0	grandpa
        7.0	        1.0	        1.0	terribl
        1.0	        1.0	        2.0	ahhh
        1.0	        3.0	        1.0	partey
        2.0	        2.0	        1.0	fck
        2.0	        1.0	        2.0	couldnt
        1.0	        1.0	        3.0	caus
        2.0	        1.0	        1.0	violat
        1.0	        1.0	        2.0	modern
        1.0	        3.0	        2.0	web
        4.0	        1.0	        1.0	auba
        1.0	        1.0	        2.0	indonesian
        1.0	        1.0	        2.0	tornado
       27.0	        9.0	        9.0	more
        4.0	        2.0	        2.0	kill
        4.0	        1.0	       65.0	great
        1.0	        1.0	        2.0	sule
        8.0	        3.0	        1.0	wrong
        2.0	        1.0	        2.0	certain
        1.0	        2.0	        2.0	advanc
        1.0	        1.0	        2.0	godin
        3.0	        1.0	        1.0	garbag
        1.0	        1.0	        2.0	demir
        1.0	        1.0	        2.0	easiliy
        2.0	        1.0	        4.0	talent
        2.0	        1.0	        3.0	few
        1.0	        1.0	        3.0	rebic
        2.0	        1.0	        1.0	england
        2.0	        1.0	        1.0	adam
        2.0	        1.0	        1.0	nvm
        1.0	        1.0	       23.0	king
        1.0	        1.0	        2.0	eleg
        3.0	        1.0	        1.0	kind
        2.0	        1.0	        1.0	motm
        1.0	        1.0	        2.0	usabl
        2.0	        4.0	        1.0	lewandowski
        1.0	        2.0	        1.0	rais
        1.0	        2.0	        1.0	nava
        3.0	        6.0	        3.0	both
       10.0	        4.0	       12.0	most
        2.0	        5.0	        2.0	market
        4.0	        1.0	        4.0	ffs
        1.0	        1.0	        2.0	atalanta
        5.0	        2.0	        1.0	transfer
        1.0	        7.0	        2.0	imagin
        1.0	       36.0	        3.0	keep
        2.0	        2.0	        1.0	ederson
       26.0	       41.0	        7.0	whi
        2.0	        1.0	        2.0	job
        2.0	       11.0	        4.0	who
        1.0	        1.0	        2.0	option
        2.0	        1.0	        1.0	appreci
        1.0	        2.0	        1.0	castro
        1.0	        1.0	        2.0	joe
       13.0	       15.0	       52.0	game
        1.0	        1.0	        2.0	eusebio
        1.0	        2.0	        1.0	volley
        2.0	        1.0	        1.0	crucial
        2.0	        1.0	        1.0	goalsea
        2.0	        2.0	        3.0	continu
        2.0	        1.0	        1.0	captain
        4.0	        3.0	        3.0	everyon
        1.0	        1.0	        2.0	elia
        2.0	        1.0	        4.0	along
        1.0	        1.0	        3.0	wig
        1.0	        1.0	        2.0	hottest
        1.0	        2.0	        2.0	vinicius
        6.0	        1.0	        1.0	sad
        5.0	        2.0	        1.0	clown
        4.0	        1.0	        3.0	win
        1.0	        1.0	        2.0	piemont
        6.0	        2.0	        4.0	didn
        2.0	        1.0	        1.0	san
        1.0	        1.0	        2.0	rest
        2.0	        2.0	        2.0	amount
       10.0	        2.0	        3.0	move
        2.0	        1.0	        1.0	obvius
        3.0	        1.0	        1.0	dislik
        9.0	        4.0	        2.0	say
        5.0	        2.0	        2.0	also
        6.0	        2.0	        3.0	enough
        1.0	        1.0	        3.0	truli
        1.0	        1.0	        2.0	shine
        2.0	        1.0	        1.0	differ
        2.0	        1.0	        1.0	disrespectfuldeserv
        1.0	        2.0	        1.0	spread
        2.0	        7.0	        2.0	sbc
        1.0	        1.0	        3.0	front
        1.0	        1.0	        3.0	clinic
        2.0	        1.0	        1.0	snacho
        2.0	        3.0	        1.0	confus
        6.0	        2.0	        2.0	weakfoot
        8.0	        1.0	        1.0	stupid
        3.0	        1.0	        1.0	joao
       32.0	        1.0	        4.0	bad
        1.0	        2.0	        2.0	potenti
        2.0	        1.0	        2.0	bring
        5.0	        1.0	        2.0	complet
        2.0	        2.0	        1.0	ban
        2.0	        1.0	        6.0	fit
        1.0	        1.0	        2.0	pulis
        1.0	        2.0	        1.0	bar
        1.0	        2.0	        1.0	onouha
        2.0	        2.0	        1.0	fix
        3.0	        2.0	        5.0	honest
        2.0	        1.0	        1.0	rank
        2.0	        1.0	        1.0	angri
        2.0	        1.0	        1.0	rubbish
        1.0	        1.0	        2.0	favorit
        1.0	        8.0	        1.0	rang
        2.0	        1.0	        1.0	trajectori
        1.0	        2.0	        1.0	despis
        5.0	        2.0	        9.0	posit
        1.0	        2.0	        2.0	ac
        6.0	        5.0	        8.0	sure
        1.0	        1.0	        4.0	gang
        1.0	        2.0	        1.0	ad
        1.0	        2.0	        1.0	werkend
        2.0	        3.0	        2.0	ramo
        2.0	        1.0	        1.0	reus
        3.0	        1.0	        1.0	af
        2.0	        1.0	        1.0	ag
        1.0	        2.0	        1.0	ah
        2.0	        1.0	        1.0	downright
        6.0	        4.0	        1.0	am
       36.0	       11.0	       23.0	an
        1.0	        2.0	        1.0	panic
        1.0	        2.0	        1.0	extend
       17.0	       17.0	       13.0	as
        1.0	        1.0	        2.0	nonrar
       54.0	       33.0	       25.0	at
        1.0	        1.0	        2.0	boyi
        3.0	        1.0	        1.0	witsel
        1.0	        1.0	        3.0	brother
        2.0	        1.0	        2.0	elit
        2.0	        1.0	        1.0	hurt
        4.0	        1.0	        1.0	bc
        1.0	        2.0	        4.0	strong
        2.0	        1.0	        2.0	deal
      117.0	       32.0	       64.0	be
        2.0	        1.0	        1.0	prove
        1.0	        1.0	        2.0	affect
        3.0	        8.0	       16.0	icon
        2.0	        1.0	        1.0	slovak
        2.0	        3.0	        1.0	dead
        1.0	        2.0	        1.0	delet
        1.0	        2.0	        1.0	drain
        8.0	        5.0	        7.0	see
        1.0	        1.0	        4.0	domin
        1.0	        3.0	        1.0	search
        3.0	        1.0	        1.0	fool
        2.0	        1.0	        1.0	matic
        9.0	        2.0	        9.0	by
       15.0	        4.0	       11.0	foot
        2.0	        3.0	       24.0	cb
        1.0	        1.0	        2.0	aswel
        3.0	        2.0	        1.0	cf
        1.0	        1.0	        2.0	set
        3.0	        1.0	        2.0	quicker
        7.0	        1.0	        1.0	cl
        1.0	        5.0	       12.0	cm
        1.0	        2.0	        1.0	cr
        1.0	        2.0	        1.0	sanson
        1.0	        2.0	        2.0	kessi
        1.0	        2.0	        1.0	maestro
        1.0	        1.0	        2.0	renan
        4.0	        4.0	        2.0	de
        2.0	        2.0	        1.0	offic
        1.0	        1.0	        2.0	di
        4.0	        4.0	        3.0	stamina
        2.0	        1.0	        1.0	scare
        1.0	        1.0	        2.0	forc
        1.0	        2.0	        1.0	ben
        8.0	       15.0	        3.0	do
        2.0	        1.0	        1.0	dickford
        1.0	        2.0	        1.0	luke
        1.0	        1.0	        4.0	beauti
        4.0	       10.0	        2.0	rare
        7.0	        2.0	        2.0	won
        7.0	        1.0	        1.0	useless
        1.0	        1.0	        2.0	stoichkov
        2.0	        2.0	        1.0	dembel
       71.0	       10.0	        9.0	ea
        1.0	        2.0	        4.0	besikta
        3.0	        1.0	       24.0	wow
        2.0	        1.0	        1.0	fng
        1.0	        2.0	        1.0	michel
        1.0	        1.0	        2.0	ed
        3.0	        7.0	        2.0	which
        1.0	        1.0	        2.0	catalist
        1.0	        2.0	        2.0	el
        1.0	        2.0	        1.0	odriozola
        1.0	        1.0	        2.0	dijk
        1.0	        2.0	        1.0	viva
        4.0	        1.0	        1.0	matip
        3.0	        1.0	        1.0	carri
        2.0	        1.0	        1.0	complain
        2.0	        1.0	        1.0	felix
        8.0	        4.0	        4.0	never
        1.0	        2.0	        1.0	she
        2.0	        1.0	        1.0	aggress
        1.0	        2.0	        1.0	activ
        1.0	        1.0	        2.0	awesoom
        1.0	        2.0	        1.0	sentin
        1.0	        1.0	        2.0	fc
        2.0	        2.0	        1.0	compar
        1.0	        1.0	        3.0	legendari
       53.0	       52.0	       76.0	for
        1.0	        2.0	        1.0	fn
        2.0	        1.0	        1.0	argentinian
        1.0	        1.0	        2.0	roooooooonaldo
       60.0	       23.0	       17.0	rate
        1.0	        2.0	        1.0	alert
       18.0	        5.0	        3.0	skill
        4.0	        1.0	        1.0	unfair
        2.0	        1.0	        1.0	promot
        1.0	        1.0	        3.0	sir
        4.0	        1.0	        4.0	class
        1.0	        1.0	        2.0	battl
        6.0	        3.0	        1.0	over
        1.0	        2.0	        3.0	gg
        2.0	        1.0	        1.0	spanish
        2.0	        1.0	        1.0	carta
        2.0	        1.0	        2.0	brilliant
        2.0	        1.0	        1.0	outperform
        4.0	        3.0	        6.0	gk
        2.0	        2.0	        2.0	someth
        7.0	       20.0	       11.0	go
        3.0	        1.0	        1.0	vrij
        2.0	        1.0	        3.0	kept
        1.0	        3.0	        1.0	lucki
        2.0	        1.0	        1.0	farmer
        3.0	        1.0	        1.0	kepa
      148.0	       97.0	      132.0	he
        1.0	        2.0	        1.0	manola
        4.0	        4.0	        3.0	big
        1.0	        2.0	        1.0	hi
        2.0	        1.0	        1.0	bin
        1.0	        2.0	        1.0	ho
        2.0	        2.0	        4.0	easili
        4.0	        1.0	        4.0	sick
        2.0	        1.0	        5.0	bit
        2.0	        1.0	        1.0	slaughter
        9.0	        1.0	       12.0	veri
        1.0	        1.0	        2.0	verd
        2.0	        1.0	        1.0	model
        1.0	        2.0	        1.0	benarek
        2.0	        1.0	        1.0	join
        1.0	        2.0	        1.0	mallorca
       13.0	       24.0	       18.0	if
        1.0	        1.0	        3.0	ig
        1.0	        2.0	        3.0	french
